Update needed in DBASE,"Type of Update (Birth, Death, Weaning, Sex)",MaternalHaplotypes,MaternalForagingType,Primary Location,MomName,MomID,CalfName,CalfID,SurviveTo3,WeaningAgeKnown,IBI,WeanToSurvivingcalfInterval,WeantoSurvivingCalfCensored,"First,Early,InBetween,Last,Unknown (FENLU)",LastSurvivingCalf,GrandmaKnown,LastSightingCalf,LastSightingMother,Obs1Calf,Obs1Mom,AssignedBDay,45104,BDayAccuracy,PrimaryBdayEstimateReason,SecondaryBdayEstimateReason,WhoAssignedBDay,MotherLastSeenBeforeCalfBirth,Interval between mothers last sighting,Calf's age at first sight,Obs2,FirstCalfSight,NotesCalfSizeBehavior,Obs3,CalfLastBP,Obs4,MumLastWLiveCalf,Obs5,MumWOCalf,Obs6,DeathDate,DeathAgeYrs,GapSightings,GapSightingsDivide2,DeathDateAccuracy,DeathDateReason1,DeathDateReason2,DeathNotes,WhoDetermineDeathDate,WeaningDateAccuracy,WeanDateReason1,WeaningDateReason2,WhoDetermineWeanDate,LastWMum80%Surveys,NotBPorWOMum50%Surveys,,WeaningDate,WeaningAgeDays,WeaningAgeMonths,WeaningAgeYears,WeanNotes,DoWStatus,Shae/EKWeaningDateNotes2010,ShaeMatrilinesNotesAug2012,CBKMatrilinesNotes2013
N,,D,N,EAST,EED,EED,EATME,EAT,y,y,3.920547945,0.857534247,n,n,,,12-May-94,,JM,,01/12/1990,33,MonthEstimate,SpringSummerYoy,,JM,10-Nov-90,0.3,0.24,KAW,27-Feb-91,No fetal folds visible from slides (JM); looks big,AFR,28-Jul-93,AS,9-Sep-93,AS,7-Apr-94,JM,01/06/1994,3.501,210,105,MonthEstimate,StoppedSightingPostWeaning,,"Died post-weaning; Distinctive fin and regularly sighted, so definitely gone.",JM,MonthEstimate,Midpoint,SiblingBirth,JM,9-Sep-93,7-Apr-94,210,23-Dec-93,1118,36.6557377,3.054644809,because we do not see Bp in 94 but still bp in 93,,,,
N,,D,N,EAST,EED,EED,ODIE,ODI,y,y,3.002739726,0.198630137,n,n,,,8-Jun-99,,MRH,,01/11/1994,29,MonthEstimate,SpringSummerYoy,,JM,17-Sep-94,1.82,1.69,RCC,12-Jul-96,estimating 94-95 based on size,JM,9-Oct-96,LH,16-Aug-97,BF,25-Aug-97,MRH,,,9,5,,,,,,DayEstimate,Midpoint,SiblingBirth,JM,16-Aug-97,25-Aug-97,9,20-Aug-97,1023.5,33.55737705,2.796448087,odi seen together 100% of sighting up until 16-Aug-97-then on and off after that.,,,,
N,,D,N,EAST,EED,EED,VEEBIE,VBE,y,y,3.002739726,0.22739726,n,n,,,,,,,01/11/1997,26,MonthEstimate,SpringSummerYoy,,LMB,22-Oct-97,0.53,0.51,MRH,5-May-98,about 6mnths,LMB,25-Jun-00,JM,25-Jun-00,JM,25-Sep-00,RW,,,92,46,,,,,,MonthEstimate,Midpoint,SiblingBirth,JM,25-Jun-00,25-Sep-00,92,10-Aug-00,1013,33.21311475,2.767759563,midpoint,,,,
N,,D,N,EAST,EED,EED,PHOEBE,PHO,y,y,3,,,n,,,,,,,01/11/2000,23,MonthEstimate,SpringSummerYoy,,JM,27-Sep-00,0.71,0.62,RW,14-Jun-01,"yoy,no details, but on photo looks at least 5-6 mos.",JM,23-Apr-03,BLS,27-Jul-03,JM,2-Aug-03,JM,,,6,3,,,,,,MonthEstimate,Midpoint,SiblingBirth,JM,27-Jul-03,10-Oct-03,75,2-Sep-03,1035.5,33.95081967,2.829234973,,,,,
N,,D,N,EAST,EED,EED,GREEDY,GRD,n,d,2.002739726,,,n,,,4-Oct-04,,AKC,,01/11/2003,20,MonthEstimate,SpringSummerYoy,,JM,10-Oct-03,0.75,0.69,RCC,9-Jul-04,No size information,RCC,4-Oct-04,AKC,4-Oct-04,AKC,20-Oct-04,RCC,12/10/2004,0.948,16,8,DayEstimate,DeadPreWeaning,,RCC data not yet submitted,JM,,,,,,,,,,,,,,,,
N,,D,N,EAST,EED,EED,PEEWEE,PWE,y,y,,,,n,,,,,,,01/11/2005,18,MonthEstimate,SpringSummerYoy,,JM,1-Oct-05,0.6,0.52,RCC,9-May-06,Yoy,JM,8-Oct-06,RCC,,,,,,,,,,,,,,MonthEstimate,DefaultDate,SiblingBirth,JM,8-Oct-06,4-Aug-09,1031,1-May-09,1277,41.86885246,3.489071038,large gap so assigned default date,,,,
N,,,N,HERALD BIGHT,EFFIEL,EFL,TRIFLE,TFL,y,n,,,,WAIT UNTIL 2027,,,,,,,01/11/2006,17,YearEstimate,Gap,,JM,16-Aug-03,5.94,2.73,RCC,24-Jul-09,"about 2 years old, no pics",YJT EMP,24-Jul-09,YJT EMP,24-Jul-09,YJT EMP,13-Oct-12,EK,,,,,Unknown,UncertainSurvivalStatusPreWeaning,Gap,no photos. EFL being herded in 2012,EK,,,,,,,,,,,,,DEAD OR WEANED,,,
N,,E,N,WHALE BIGHT,EFT,EFT,EERIE,EER,y,y,4.002739726,0.580821918,n,f,,,1-Nov-99,,JM,,01/11/1996,27,MonthEstimate,SpringSummerYoy,,JM,21-Oct-96,0.51,0.48,LB,26-Apr-97, ,JM,1-Nov-99,JM,1-Nov-99,JM,4-Sep-00,CF,,,308,154,Unknown,NotSightedPostWeaning,,,EK JM,MonthEstimate,Midpoint,SiblingBirth,JM,1-Nov-99,4-Sep-00,308,3-Apr-00,1249,40.95081967,3.412568306,midpoint,,,,
N,,E,N,WHALE BIGHT,EFT,EFT,EEK,EEK,y,y,4.054794521,0.439726027,n,n,,,5-Oct-04,,MK,,01/11/2000,23,MonthEstimate,SpringSummerYoy,,JM,4-Sep-00,0.8,0.64,RW,22-Jun-01,"no fetal lines-yoy, 8,9mos. Same size as Zep",JM,11-Apr-04,QAG,11-Apr-04,qag,14-Aug-04,BLS,,,125,63,,,,,,MonthEstimate,Midpoint,SiblingBirth,JM,11-Apr-04,14-Aug-04,125,12-Jun-04,1319.5,43.26229508,3.605191257,,,,,
N,,E,N,WHALE BIGHT,EFT,EFT,ECHO,ECO,y,y,,,,l,y,,,,,,20/11/2004,19,DayEstimate,InfantFirstSight,,AKC,14-Nov-04,0.06,0.05,AKC,7-Dec-04,has fetal lines - infant first site sheet filled out,AKC,29-Jul-07,EK,29-Jul-07,EK,16-Jun-09,JM,,,688,344,,,,,JM,MonthEstimate,Midpoint,,JM,29-Jul-07,16-Jun-09,688,7-Jul-08,1325,43.44262295,3.620218579,midpoint,,,,
N,,  ,N,EAST,ENDOR,END,EWOK,EWO,u,n,,,,u,,,14-Aug-04,14-Aug-04,RCC,RCC,01/11/2002,21,YearEstimate,Gap,,QAG,25-Jul-98,5.72,1.45,MRH,12-Apr-04,looks to be between 2-3 years old,QAG,10-Aug-04,RCC,14-Aug-04,RCC,,,,,,,Unknown,MotherCalfNotSightedSince,Gap,,EK,,,,,14-Aug-04,,,,,,,"birthday is a big estimate, END only seen once in 1998 with no calf and then again in 2004 with calf, took midpoint",,,,
N,,A,S,PERON,EPICURE,EPC,GOURMET,GMT,y,,,,,,,,,,,,12/05/2019,,WeekEstimate,InfantFirstSight,,JM,17-Jun-18,0.99,0.08,EK,12-Jun-19,"distinct fetal lines, get more info from survey",TCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,C ,N,EAST,EQUAL,EQU,SEQUEL,SEQ,y,y,,,,u,y,,,2-Jul-05,,JM,01/03/1999,24,MonthEstimate,InfantFirstSight,,JM,21-Oct-96,2.65,0.3,MRH,17-Jun-99,no notes on size; photo shows calf as plump with fetal lines still visible (JM); rcc on 19Jul01 - 1.5 - 2.5 yrs old,MRH,2-Jul-05,JM,,,,,,,,,,,,,,MonthEstimate,Midpoint,,SAS,2-Jul-05,25-Jul-06,388,12-Jan-06,2509,82.26229508,6.855191257,"late weaner, possibly last calf of EQU",,,,
N,,  ,N,N/A,ERA,ERA,EPOCH,EPO,u,n,,,,u,,,8-Jul-88,8-Jul-88,RAS,RAS,01/11/1986,37,YearEstimate,MotherFirstSightWithCalf,,JM,,,1.77,,7-Aug-88,"from photo, calf looks at least 1.5 yrs (jm)",RAS,,,7-Aug-88,RAS,,,01/05/1989,2.499,,,Unknown,DefaultDate,MotherCalfNotSightedSince,"seen in 1988, don't know if either are dead or alive, but ERA looks familiar, maybe renamed?",JM,,,,,,,,,,,,"seen in 1988, don't know if either are dead or alive, but ERA looks familiar, maybe renamed?",,ERA and EPO aren't in surveys,,
N,,,N,WHALE BIGHT,EREMITE,ERM,FUNGIBLE,FUN,u,n,,,,u,,,11-Oct-03,11-Oct-03,JJW,JJW,01/11/2000,23,YearEstimate,MotherFirstSightWithCalf,,JM,,,2.09,,4-Dec-02,"see pics for size estimate, mom being herded in 2003",JJW,8-Oct-03,JJW,11-Oct-03,JJW,,,,,,,Unknown,UncertainSurvivalStatusPreWeaning,MotherCalfNotSightedSince,likely weaned,EK,,,,,,,,,,,,,WEANED OR DEAD,,,
N,,  ,N,WHALE BIGHT,ESCARGOT,ESC,CALAMARI,CLM,u,n,,,,u,,,19-Aug-02,19-Aug-02,RCC,RCC,01/11/2000,23,YearEstimate,Gap,,JM,6-Sep-98,3.95,1.8,AS,19-Aug-02,No size information,RCC,,,19-Aug-02,RCC,,,01/05/2003,,,,YearEstimate,DefaultDate,MotherCalfNotSightedSince,,,,,,,,,,,,,,B-day is very shaky. Esc not seen for 4 yr. period.,,,,
N,,E ,N,EAST,ESPRESSO,ESP,DOPPIO,DOP,y,y,,,,u,,,,,,,01/11/2009,14,YearEstimate,Gap,,JM,3-Jul-08,4.01,2.68,JM,8-Jul-12,"approximately 2 yrs old, definitely not a yoy, give 1-Nov-09 bday",JM EK,20-Oct-12,EK,,,,,,,,,,,,,,MonthEstimate,Midpoint,,JM,28-Nov-13,5-Jul-14,219,17-Mar-14,1597.5,52.37704918,4.364754098,,,,,
Y,B D,E ,N,EAST,ESPRESSO,ESP,MATCHA,MTC,n,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,  ,N,RED CLIFF BAY,QUEEN ESTHER,EST,ZYDECO,ZYD,n,d,3.498630137,,,n,,,30-Oct-92,15-Oct-98,AFR,AS,01/11/1990,33,MonthEstimate,SpringSummerYoy,,JM,19-Sep-88,3.1,0.99,RCC,28-Oct-91,Small-Looks about a yr old - no older!,JM,,,30-Oct-92,AFR,15-Sep-93,AS,08/04/1993,2.436,320,160,MonthEstimate,Midpoint,,,JM,,,,,,,,,,,,,,,,
N,,  ,N,RED CLIFF BAY,QUEEN ESTHER,EST,JESTER,JST,y,n,,,,l,y,,2-Nov-99,15-Oct-98,,AS,01/05/1994,29,YearEstimate,Gap,,JM,17-Sep-93,3.01,2.39,AS,21-Sep-96,No size information; used midpoint,KH,29-Jan-97,KH,22-Jul-97,MRH,1-Oct-97,MRH,,,71,36,,,,,,YearEstimate,BirthdateUncertain,Midpoint,JM,22-Jul-97,26-Oct-97,96,8-Sep-97,1226,40.19672131,3.349726776,"check DNA film for 26oct 97 sighting, Queen Esther seen w/out jester several times-bad sunburn- Jester also seen w/o mom; probably weaned 1997;jester alive 26-oct-97, est seen mutliple times before w/out jester",,,,
N,,  ,N,GUICH FLATS,ETCH,ETC,SKETCH,SKC,y,y,,,,u,,,,30-Aug-06,,RCC,01/11/2000,23,MonthEstimate,SpringSummerYoy,,JM,7-May-00,1.25,0.76,JM,6-Aug-01,No size information,JJW,13-Aug-05,RCC,,,,,,,,,,,,,,MonthEstimate,Midpoint,,SAS,13-Aug-05,30-Aug-06,382,20-Feb-06,1937,63.50819672,5.292349727,,,,,
N,,  ,N,N/A,EVA,EVA,AVEY,AVE,u,n,,,,u,,,1-May-87,1-May-87,DDD,DDD,01/11/1985,38,YearEstimate,MotherFirstSightWithCalf,,RAS,,,1.49,,1-May-87,see 1991 catalogue; Eva ID in 1987 with calf estimate born 1985,DDD,,,,,,,01/05/1991,,,,Unknown,SightingRecordPoor,BirthdateUncertain,,JM,,,,,,,,,,,,,,EVA and AVE aren't in surveys,,
N,,A,N,RED CLIFF BAY,FATFIN,FAT,TUBBY,TUB,n,d,6.956164384,,,e,,,9-Jul-85,4-Apr-05,RAS,QAG,01/01/1985,39,MonthEstimate,SpringSummerYoy,MotherFirstSightWithCalf,RAS,18-Jul-85,-0.05,0.49,RAS,29-Jun-85,TUB was born sometime late 1984 or early 1985-was sighted in 1985 (photo of FAT with calf) but died later that year,RAS,,,9-Jul-85,RAS,17-Jul-85,RAS,13/07/1985,0.529,8,4,DayEstimate,Midpoint,,midpoint based on RAS sightings,JM,,,,,,,,,,,,,,,,
N,,A,N,RED CLIFF BAY,FATFIN,FAT,OBE,OBE,n,d,1.882191781,,,n,,,,4-Apr-05,DDD,QAG,15/12/1991,32,MonthEstimate,Pregnancy,,JM,4-Dec-91,-91.93,-91.96,AFR,,26-aug-91 JM sure FAT pregnant,JM,,,15-Dec-91,JM,8-Jul-92,JM,27/03/1992,0.282,206,103,MonthEstimate,Midpoint,,Calf never seen-based on pregnancy and next sighting,JM,,,,,,,,,,,,,,,,
N,,A,N,RED CLIFF BAY,FATFIN,FAT,HUCKLEBERRY,HCK,n,d,2.931506849,,,n,,,3-Feb-94,4-Apr-05,SHOTOVER,QAG,01/11/1993,30,WeekEstimate,InfantFirstSight,,JM,26-Sep-93,0.13,0.03,AS,13-Nov-93,"Shotover saw Huckleberry 13 Nov but werent sure, but Nikki Fryer confirmed on 27-Nov and described fetal lines.",SHOTOVER,,,3-Feb-94,Shotover,11-Feb-94,SHOTOVER,07/02/1994,0.268,8,4,DayEstimate,DeadPreWeaning,,dead ,JM,,,,,,,,,,,,,,,,
N,,A,N,RED CLIFF BAY,FATFIN,FAT,TWIGGY,TWG,n,d,3.076712329,,,n,,,20-May-97,4-Apr-05,MRH,QAG,06/10/1996,27,DayEstimate,InfantFirstSight,,KH,5-Oct-96,0.02,0.02,KH,12-Oct-96,"about 1 week old; 4 fetal folds visable, stripes and a bit lumpy; pedominant chin-slap surfacings; longest BP=30sec",KH,,,20-May-97,mrh,22-Jul-97,MRH,20/06/1997,0.705,63,32,WeekEstimate,DeadPreWeaning,,dead - dissapeared in june or july 97,JM,,,,,,,,,,,,,,,,
N,,A,N,RED CLIFF BAY,FATFIN,FAT,BLUBBY,BBB,n,d,,,,l,,,1-Jan-00,4-Apr-05,DIC,QAG,03/11/1999,24,DayEstimate,InfantFirstSight,,DIC,5-Oct-99,0.1,0.02,JM,10-Nov-99,david charles saw and estimated to be a week old,DIC,,,1-Jan-00,DIC,7-Jan-00,DIC,04/01/2000,0.17,6,3,DayEstimate,DeadPreWeaning,,blubby dead,JM,,,,,,,,,,,,,,,,
N,,  ,N,WHALE BIGHT,FALCON,FCN,MILLENIUM,MLM,y,n,,,,u,,,23-Jul-11,23-Jul-11,EMP,EMP,01/11/2007,16,YearEstimate,Gap,,JM,23-Oct-05,3.75,1.73,EK,24-Jul-09,older calf,JM,23-Jun-11,EMP,23-Jun-11,EMP,,,,,,,Unknown,MotherCalfNotSightedSince,,,EK JM,YearEstimate,MotherCalfNotSightedSince,,EK JM,23-Jun-11,,,1-May-12,1643,53.86885246,4.489071038,,DEAD OR WEANED,,"MLM in bp 23-Jun-11 JM, there were no photos of MLM but survey said that MLM was in bp with FCN",
N,,C,N,EAST,FAUCET,FCT,HOSEHEAD,HHD,y,n,,,,u,,,,17-Jul-92,,JM,01/11/1990,33,YearEstimate,MotherFirstSightWithCalf,,JM,,,1.62,,16-Jun-92,no notes on size; AFR might have had an earlier sighting of HHD FCT 18-Apr-91 where he sighted a distinctive calf with a sponge-mother that looks like JAS.,JM,17-Jul-92,JM,17-Jul-92,JM,6-Sep-96,MRH,,,1512,756,,,,,,YearEstimate,Midpoint,Gap,,,,,12-Aug-94,1380,45.24590164,3.770491803,check 92 film to estimate size,,,,
N,,H,N,EAST,FEATHER,FEA,BOA,BOA,u,n,,,,u,,,,,,,01/11/2007,16,YearEstimate,SpringSummerYoy,,JM,9-May-06,3.15,1.67,JM,4-Jul-09,"Estimated 18-30 mos.,could have been 2007 or 2006 birth",,4-Jul-09,JM,4-Jul-09,JM,,,01/05/2010,,,,YearEstimate,MotherCalfNotSightedSince,UncertainSurvivalStatusPreWeaning,no photos of BOA,JM,,,,,,,,,,,,,,,,
N,,A ,N,GUICH FLATS,FEN,FEN,BOG,BOG,y,n,,,,f,,,2-Jul-02,,RCC,,01/11/1993,30,YearEstimate,MotherFirstSightWithCalf,,JM,,,2.8,,20-Aug-96,"described as young but fen with wow crowd, weaned in 97",MRH,,,20-Aug-96,MRH,13-Aug-97,RCC,,,,,,,,,JM,YearEstimate,BirthdateUncertain,Midpoint,JM,20-Aug-96,13-Aug-97,358,15-Feb-97,1202,39.40983607,3.284153005,"BOG first sighted as older calf, weaning date uncertain",,,,
N,,A ,N,GUICH FLATS,FEN,FEN,PEAT,PPT,y,y,,,,l (wait until 2022),y,,10-Aug-05,19-Jul-06,MK,RCC,01/11/2001,22,MonthEstimate,SpringSummerYoy,,CF,8-Aug-01,0.96,0.72,RCC,23-Jul-02,CF: ppt yoy based on photo,RCC,10-Aug-05,MK,10-Aug-05,MK,19-Jul-06,SR SS BH,,,,,,,,,,MonthEstimate,Midpoint,,SAS,10-Aug-05,19-Jul-06,343,28-Jan-06,1549.5,50.80327869,4.233606557,,,,,
N,,E,N,WHALE BIGHT,FIDO,FID,MUTT,MUT,y,y,8.005479452,4.924657534,n,e,,,,15-Jul-05,,RCC,01/11/1993,30,MonthEstimate,SpringSummerYoy,MotherFirstSightWithCalf,JM,,,0.43,,7-Apr-94,5 mos- 1 yr in 94,JM,6-Jul-96,RCC,6-Jul-96,RCC,25-Apr-97,JM,,,293,147,,,,,,MonthEstimate,Midpoint,,JM,6-Jul-96,25-Apr-97,293,29-Nov-96,1124.5,36.86885246,3.072404372,midpoint,,,,
N,,E,N,WHALE BIGHT,FIDO,FID,UBU,UBU,y,n,,,,n,,,16-Apr-04,15-Jul-05,QAG,RCC,01/11/2001,22,MonthEstimate,SpringSummerYoy,,JJW,20-Sep-01,1.94,1.82,JJW,28-Aug-03,jjw thought looked 1-2yr old at first sight-closer to 2 from pics,JJW,16-Apr-04,QAG,16-Apr-04,QAG,29-Jul-04,RCC,,,104,52,Unknown,NotSightedPostWeaning,,,EK,MonthEstimate,Midpoint,StoppedSightingPostWeaning,JM,16-Apr-04,29-Jul-04,104,7-Jun-04,949,31.1147541,2.592896175,"midpoint; Ubu probably weaned rather than died b/c time of year and herding (if calf loss was too early, then m condition wouldn't be sufficient for herding so quickly)",,,,
N,,E ,N,WHALE BIGHT,FIDO,FID,ASTEROID,ASD,y,y,,,,n,,,,,,,01/11/2005,18,MonthEstimate,SpringSummerYoy,,RCC,19-Sep-04,1.87,0.75,MK,2-Aug-06,"likely yoy, no fetal folds; mom with males in 2004",RCC,10-Sep-09,EK MAS,,,,,,,,,,,,,,MonthEstimate,Midpoint,,SAS,10-Nov-09,23-Sep-10,317,17-Apr-10,1628.5,53.39344262,4.449453552,,,,,
N,,E ,N,WHALE BIGHT,FIDO,FID,WISHBONE,WSB,y,n,,,,,,,,,,,24/08/2015,8,DayEstimate,InfantFirstSight,,EK,15-Nov-13,1.8,0.03,MMW,3-Sep-15,"2 weeks max, has stripes, smooth skin, df erect, slightly sunken at neck, normal surfacings, most synchrony with mom, mostly swim in echelon with mom",EK,9-Apr-20,CCC,9-Apr-20,CCC,11-Apr-22,JM MHM,,,,,,,,,,YearEstimate,DefaultDate,Gap,VF JM,9-Apr-20,11-Apr-22,732,1-May-21,2077,68.09836066,5.674863388,"would use default date given the gap in sightings. As Fido is old now, not surprising that WSB would be weaned late.",,,,
N,,  ,N,RED CLIFF BAY,FINGERS,FIN,THUMB,THB,u,n,4.106849315,,,e,,,9-Feb-93,2-Aug-06,,IA SR,01/11/1992,31,YearEstimate,Gap,,JM,3-Mar-91,1.94,0.27,AFR,9-Feb-93,No notes,AFR,,,9-Feb-93,AFR,12-Nov-96,LH,,,,,Unknown,UncertainSurvivalStatusPreWeaning,Gap,no photos,EK,,,,,,,,,,,,,DEAD OR WEANED,THB not in surveys,,
N,,  ,N,RED CLIFF BAY,FINGERS,FIN,PINKIE,PKI,y,u,3.898630137,,,n,,,29-Aug-99,2-Aug-06,AS,IA SR,09/12/1996,27,DayEstimate,InfantFirstSight,,KH,8-Dec-96,0.01,0,KH,10-Dec-96,"1-2 days old see first sighting form; fetal folds, lumpy; cork-up surfacings; no BP",KH,29-Aug-99,MK,29-Aug-99,MK,25-Sep-00,RW,,,,,,StoppedSightingPostWeaning,,,JM,MonthEstimate,Reduced MC Association,StoppedSightingPostWeaning,JM,29-Aug-99,25-Sep-00,393,12-Mar-00,1189.5,39,3.25,"midpoint, large gap could be weaned or dead",,,,
N,,  ,N,RED CLIFF BAY,FINGERS,FIN,DIGIT,DIG,y,y,4.002739726,0.468493151,,n,y,,,2-Aug-06,,IA SR,01/11/2000,23,MonthEstimate,Gap,,CF,27-Sep-00,1.87,1.77,RW,11-Aug-02,"10 Nov 02-CF: FIN with calf not found in matrilines, named Digit/DIG, DIG is approximately same size as DOD, estimate birth year as 2000",MK,17-Dec-03,AS,17-Dec-03,AS,19-Sep-04,MK,,,277,139,Unknown,Over3Years,,,,MonthEstimate,Midpoint,SiblingBirth,JM,17-Dec-03,10-Oct-04,298,14-May-04,1290,42.29508197,3.524590164,"by midpoint; still together late 2003, but Fin with males too",,,,
N,,  ,N,RED CLIFF BAY,FINGERS,FIN,KNUCKLES,KNU,u,n,,,,l,,,2-Aug-06,2-Aug-06,IA SR,IA SR,01/11/2004,19,MonthEstimate,SpringSummerYoy,,JM,10-Oct-04,-104.78,-104.84,AKC,,Waiting for AS 2005 data,AS,2-Aug-06,IA SR,2-Aug-06,IA SR,,,,,,,Unknown,UncertainSurvivalStatusPreWeaning,MotherCalfNotSightedSince,Mom given 1-may-09 death date,EK,,,,,,,,,,,,,,,,
N,,,N,NORTH OF WHALE BIGHT,FUNKY,FKY,FRESH,FSH,y,n,,,,u,,,20-Oct-06,,BH RP SR,,01/11/2004,19,YearEstimate,Gap,,SAS,10-Oct-04,2.03,1.97,AKC,20-Oct-06,no age information at first sight but FKY with males in 2003,BH RP SR,20-Oct-06,BH RP SR,20-Oct-06,BH RP SR,23-Jun-11,JM,,,,,,,,,,YearEstimate,DefaultDate,,JM,20-Oct-06,23-Jun-11,1707,1-May-08,,,,,,,,
N,,,N,NORTH OF WHALE BIGHT,FUNKY,FKY,KRUNK,KNK,u,d,,,,,,,,,,,01/11/2012,11,MonthEstimate,SpringSummerYoy,,EMP,23-Jun-11,2.04,0.68,JM,6-Jul-13,YOY,EMP,6-Jul-13,EMP,6-Jul-13,EMP,28-Jun-15,EK,02/07/2014,1.666,722,361,YearEstimate,UncertainSurvivalStatusPreWeaning,StoppedSightingPostWeaning,probably dead,EK,,,,,,,,,,,,,,,,
Y,B,,N,WHALE BIGHT,FOURLEAF,FLF,CHICORY,CCY,still alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,E,N,RED CLIFF BAY,FLIP,FLI,FLOAT,FLT,n,d,1.142465753,,,f,,y,12-Oct-03,17-Jul-08,JJW,EK EMP,11/10/2003,20,DayEstimate,InfantFirstSight,,JJW,10-Oct-03,0.01,0,JJW,12-Oct-03,"calf dead, mom pushing at surface with rostrum, calf's whole body floppy",JJW,,,12-Oct-03,JJW,12-Oct-03,JJW,12/10/2003,0.003,0,0,DayEstimate,DeadBody,,,JJW,,,,,,,,,,,,,,,,
N,,E,N,RED CLIFF BAY,FLIP,FLI,FRODO,FDO,n,d,3.115068493,,,n,,,17-May-05,17-Jul-08,QAG,EK EMP,01/12/2004,19,MonthEstimate,InfantFirstSight,,QAG,5-Nov-04,0.37,0.3,RCC,19-Mar-05,"infant first site filled out - smooth, no fetal marks, estimate 2-3 mos",QAG,,,17-May-05,qag,10-Jul-05,JM,13/06/2005,0.532,54,27,WeekEstimate,DeadPreWeaning,,,JM,,,,,,,,,,,,,,,,
N,,E,N,RED CLIFF BAY,FLIP,FLI,FLY,FLY,n,d,,,,l,,,24-Jul-08,17-Jul-08,EK EMP,EK EMP,12/01/2008,15,DayEstimate,InfantFirstSight,,JM,7-Jan-08,0.03,0.01,CCC,17-Jan-08,"very tiny, fetal folds, skinny",CCC,,,17-Jul-08,EK EMP,24-Jul-08,EK EMP,23/07/2008,0.529,0,0,DayEstimate,DeadBody,,"dead necropsy done, no survey",EK,,,,,,,,,,,,,,,,
N,,  ,N,N/A,FLOJO,FLO,MOJO,MOJ,u,n,,,,u,,,1-May-88,11-Nov-88,DDD,RCC,01/11/1986,37,YearEstimate,MotherFirstSightWithCalf,,JM,,,1.5,,1-May-88,RCC has records of Flojo herded with older calf in 1988 or 1989.,DDD,,,,,,,,,,,Unknown,SightingRecordPoor,BirthdateUncertain,JM EK checked again cannot add more info for death or weaning date,JM EK,,,,,,,,,,,,,,FLO and MOJ aren't in surveys,,
N,,,N,WHALE BIGHT,FULLMOON,FMN,WAXING,WAX,y,y,,,,u,,,,,,,01/11/2008,15,YearEstimate,MotherFirstSightWithCalf,,EK,,,3.29,,15-Feb-12,,CCC,15-Feb-12,CCC,,,3-Feb-13,CCC,,,,,,,,,,MonthEstimate,SiblingBirth,,EK,15-Feb-12,8-Oct-13,601,1-May-12,1277,41.86885246,3.489071038,,,,,
N,,,N,WHALE BIGHT,FULLMOON,FMN,WANING,WNN,u,n,,,,,,,28-Nov-13,28-Nov-13,,,15/12/2012,10.5,WeekEstimate,SpringSummerYoy,,EK JM,15-Feb-12,0.97,0.14,CCC,3-Feb-13,"yoy, fetal lines, sunken bhd neck seen again on 28-Nov-13 looking great",CCC,28-Nov-13,JM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,A ,N,WHALE BIGHT,FLINT,FNT,QUARTZ,QTZ,y,,,,,,,,,,,,01/11/2016,,YearEstimate,GAP,,MHM,8-Aug-15,4.32,3.09,EK,3-Dec-19,"bigger than DOU, estimated about 3 years old",MHM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FNT probably had/lost baby in 2011 (based on observed pregnancy) and 2013 based on being consorted in 2012; could have had/lost another in early 2015 before having QTZ. 
N,,A ,N,WHALE BIGHT,FLINT,FNT,RUBBLE,RBB,y,y,4.967123288,1.189041096,n,f,,,,,,,15/11/2003,20,MonthEstimate,InfantFirstSight,,QAG,2-Nov-03,0.39,0.35,JJW,22-Mar-04,"df erect, no fetal stripes, normal weight, normal surfacings ",QAG,16-Sep-06,BH SS IA,16-Sep-06,BH SS IA,2-Aug-08,EK EMP,,,,,,,,,JM,MonthEstimate,Midpoint,,JM,16-Sep-06,2-Aug-08,686,25-Aug-07,1379,45.21311475,3.767759563,RBB not sighted post weaning,,,,
N,,A ,N,WHALE BIGHT,FLINT,FNT,PEBBLES,PBL,y,y,,,,,,,,,,,01/11/2008,15,MonthEstimate,SpringSummerYoy,,JM,2-Aug-08,1.01,0.76,EK,5-Aug-09,Yoy,YJT,9-Nov-10,EK,,,,,,,,,,,,,,MonthEstimate,Midpoint,,EK,9-Nov-10,23-Oct-11,348,2-May-11,912,29.90163934,2.491803279,"PBL on his own on 23-Oct, 1-Nov, 22-Nov, and 8-Dec-11. FNT also sighted without PBL on 8-Dec-11.",,,,
Y,B,,N,WHALE BIGHT,FOAM,FOA,MISTY,MTY,still alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
