Dolphin ID,Dolphin Name,Temporary Dolphin Ind,Sex,Sex Certainty,Mother ID,Birth Date Accuracy,Birth Date,Birth Date Earliest,Birth Date Latest,Birth Date Primary Reason,Birth Date Secondary Reason,Birth Date Primary Assigner,Birth Date Secondary Assigner,Birth Notes,Death Date Accuracy,Death Date,Death Date Primary Reason,Death Date Secondary Reason,Death Date Calc Type,Death Date Primary Assigner,Death Date Secondary Assigner,Death Notes,Weaning Date Accuracy,Weaning Date,Weaning Date Primary Reason,Weaning Date Secondary Reason,Weaning Date Calc Type,Weaning Date Primary Assigner,Weaning Date Secondary Assigner,Weaning Age Known,Weaning Notes,Last Seen Year,Dolphin Notes
CEM,CREAM,FALSE,,,BUT,YEAR ESTIMATE,11/01/2018,11/1/2017,11/1/2019,GAP,,VF,JM,"no size info, but older calf and Butter getting consorted during later 2022 sightings",,,,,,,,,,,,,,,,,,,
CER,CERSEI,FALSE,FEMALE,HIGH,,YEAR ESTIMATE,11/01/1995,,,ASSIGNED 10 YRS,,JM,,No good information on photos so given default 10 years. Thought to be young when herded in 2013. Only possible match is with CLD who we lost track of.,,,,,,,,,,,,,,,,,,,added by VF/CBK
CET,CETUS,FALSE,MALE,HIGH,,YEAR ESTIMATE,11/01/1970,11/1/1968,11/1/1972,SSSS,91CAT,EK,JM,,MONTH ESTIMATE,01/05/1990,SIGHTED OFTEN PREVIOUSLY,,DEFAULT DATE,EK,JM,seen every year and then not.,,,,,,,,,,1989,
CEY,CHEEKY,FALSE,MALE,HIGH,LIC,DAY ESTIMATE,20/11/2009,11/15/2009,12/1/2009,INFANT FIRST SIGHT,,EK,,est 3 wks at 1st sight 10-dec-09 so gave defaut mid-nov.,,,,,,,,,DAY ESTIMATE,6/17/2012,,,MIDPOINT,JM,,YES,,,
CFL,CORNFLAKE,TRUE,FEMALE,LOW,,YEAR ESTIMATE,11/01/1991,,,,,,,,,,,,,,,,,,,,,,,,,,
CHA,CHAINSAW,FALSE,FEMALE,HIGH,,YEAR ESTIMATE,11/01/1982,11/1/1967,11/1/1982,REPRODUCTIVE AGE,SSSS,EK,JM,Photos are not good but speckles on DF are there in 2002 so we think she is 20 at the youngest (also repro age) but probably quite a bit older.,YEAR ESTIMATE,01/05/2009,OVER 3 YEARS,RARELY SIGHTED,DEFAULT DATE,EK,JM,5 year gap 1997-2001 and she would be in her 30s at time of death.,,,,,,,,,,2004,
CHB,CHABLIS,FALSE,MALE,LOW,,YEAR ESTIMATE,11/01/1989,,,,,,,,,,,,,,,,,,,,,,,,,2004,
CHC,CHACHA,FALSE,FEMALE,HIGH,,MONTH ESTIMATE,11/01/1992,11/1/1991,11/1/1992,SSSS,,EK,JM,,DAY ESTIMATE,28/07/2015,DEAD BODY,,OTHER,EK,,Death date calculation type midpoint,,,,,,,,,,2005,
CHE,CHEWY,FALSE,MALE,HIGH,,YEAR ESTIMATE,11/01/1968,11/1/1960,11/1/1970,SSSS,91CAT,EK,JM,Estimated in his 30s in the 1990s.,MONTH ESTIMATE,01/05/1995,SIGHTED OFTEN PREVIOUSLY,OVER 3 YEARS,DEFAULT DATE,EK,JM,Seen every year. Incorrect JJW sighting of CHE in 2001 now corrected.,,,,,,,,,,2001,
CHI,CHICLET,FALSE,FEMALE,HIGH,,YEAR ESTIMATE,11/01/1975,,,91CAT,,,,Photos not good enough to improve on age estimate.,YEAR ESTIMATE,01/05/1993,RARELY SIGHTED,OVER 3 YEARS,DEFAULT DATE,EK,JM,CHI was brought into beach in the late 1980s by SSB. She was emaciated. Her fin is not that distinctive so she could have changed.,,,,,,,,,,1989,
CHK,CHECKER,FALSE,,,CRB,YEAR ESTIMATE,11/01/2000,11/1/1999,11/1/2000,,,JM,,"no age info at 1st sight, 2-3yr 8-Oct-03 JJW and mom herded on this day",,,,,,,,sighted in 2012,MONTH ESTIMATE,8/31/2004,REDUCED MC ASSOCIATION,,MIDPOINT,JM,VF,YES,CRB being herded during 2003 sightings then seen without CHK on 9-Jul-05,,
CHL,CHILI,FALSE,FEMALE,HIGH,TAM,YEAR ESTIMATE,05/01/2000,,,GAP,,JM,,NO SIZE INFORMATION,,,,,,,,,YEAR ESTIMATE,2/12/2004,,REDUCED MC ASSOCIATION,MIDPOINT,JM,,NO,MIDPOINT,2004,
CHM,CHUMPY,FALSE,FEMALE,LOW,,YEAR ESTIMATE,11/01/1989,11/1/1983,11/1/1989,ASSIGNED 10 YRS,SSSS,EK,JM,No obvious DF speckles in 2003.,YEAR ESTIMATE,01/05/2006,OVER 3 YEARS,,DEFAULT DATE,EK,JM,One year gap in sightings. Distinctive fin.,,,,,,,,,,2004,
CHO,CHOP,FALSE,MALE,HIGH,,YEAR ESTIMATE,11/01/1965,11/1/1962,11/1/1966,SSSS,91CAT,EK,JM,,WEEK ESTIMATE,01/05/1989,SIGHTED OFTEN PREVIOUSLY,,DEFAULT DATE,JM,,Should have been seen often in 1989 so must of died May or June 1989.,,,,,,,,,,1988,
CHP,CHIP,FALSE,,,NOE,DAY ESTIMATE,31/01/2022,1/30/2022,2/1/2022,INFANT FIRST SIGHT,,DIC,,DIC said only a few days old on 1Feb22,DAY ESTIMATE,02/02/2022,DEAD PREWEANING,,MIDPOINT,CCC,,CCC saw NOE without a calf and with males on 2-Feb-22,,,,,,,,,,,
CHR,CHARLIE BROWN,FALSE,MALE,HIGH,LNS,MONTH ESTIMATE,11/01/2005,9/1/2005,2/1/2006,GAP,SPRING SUMMER YOY,JM,VF,"determined by genetics, PGP weaned in 2005 and WDS born 1Nov09, calf must have been born 05",,,,,,,,,YEAR ESTIMATE,5/1/2009,SIBLING BIRTH,,DEFAULT DATE,JM,EK,YES,WDS born 1Nov09,,
CHS,CHESTER,FALSE,FEMALE,HIGH,BLB,MONTH ESTIMATE,11/01/1997,11/1/1997,1/1/1998,SPRING SUMMER YOY,,JM,,"SOME EARLIER SIGHTINGS THAT YEAR, BUT UNCLEAR IF CALF WAS PRESENT.",,,,,,,,,MONTH ESTIMATE,3/5/2005,REDUCED MC ASSOCIATION,,MIDPOINT,JM,,YES,MIDPOINT,2003,
CHT,CHTHONIC,FALSE,FEMALE,HIGH,,YEAR ESTIMATE,11/01/1993,11/1/1992,11/1/1994,SSSS,,EK,JM,Males interested in her in 2004.,,,,,,,,,,,,,,,,,,2004,
CHU,CHUNK,FALSE,MALE,HIGH,,YEAR ESTIMATE,11/01/1957,11/1/1955,11/1/1959,SSSS,91CAT,EK,JM,Heavily speckled on DF in 1984.,MONTH ESTIMATE,01/05/1990,SIGHTED OFTEN PREVIOUSLY,,DEFAULT DATE,EK,JM,,,,,,,,,,,1990,
CHY,CHYP,FALSE,,,,,11/01/1979,,,91CAT,,,,,,,,,,,,,,,,,,,,,,,
CIB,CARDI B,FALSE,,,COI,MONTH ESTIMATE,11/01/2020,12/8/2019,2/1/2021,INFANT FIRST SIGHT,,VF,,"older than a yoy, either late 2019 or 2020 birth, first seen CCC 19Feb22",,,,,,,,,,,,,,,,,,,
CIC,CHIC,FALSE,,,RDC,MONTH ESTIMATE,11/01/2019,9/1/2019,1/1/2020,SPRING SUMMER YOY,INFANT FIRST SIGHT,JM,VF,"JM estimates the calf can't be younger than 5 months. No fetal lines, mostly bp based on images. No echelon.",,,,,,,,,,,,,,,,,,,
CIG,CIGAR,FALSE,UNKNOWN,,COL,MONTH ESTIMATE,11/01/2000,9/1/2000,1/1/2001,,,JM,,,MONTH ESTIMATE,01/10/2001,SIBLING BIRTH,,BEFORE SIBLING BIRTH,JM,,estimated that seb born January so probably lost cig sep-nov so midpoint is october 1,,,,,,,,,,,
CII,CHI,FALSE,FEMALE,HIGH,TAI,MONTH ESTIMATE,11/01/2000,,,SPRING SUMMER YOY,,JM,,MK MIGHT HAVE 1999 SIGHTING OF TAI - NEED TO CHECK. BLS MIGHT HAVE RECORDS ON CII SIZE.,,,,,,,,,MONTH ESTIMATE,9/26/2004,REDUCED MC ASSOCIATION,SIBLING BIRTH,MIDPOINT,JM,,YES,"Y. MIDPOINT; 1ST TIME SAW CII WAS IN 2004 AND THEN SAW IT 21-AUG-04, NEARLY A YEAR LATER, 9-JUL-05 LATER TAI WAS SEEN WITH A NEW CALF, SO PRESUMING CII WAS WEANED AS SEEN ON 10-JUL-05",2005,
CIM,CRIMP,FALSE,UNKNOWN,,GMP,MONTH ESTIMATE,11/01/2012,,,,,JM,,,MONTH ESTIMATE,15/03/2013,DEAD PREWEANING,,BEFORE SIBLING BIRTH,JM,,,,,,,,,,,,,GMP was seen pregnant on 9-Sep-12 and then with a calf by CCC on 8-Mar-13
CIN,CINCI,FALSE,MALE,HIGH,BOM,WEEK ESTIMATE,26/03/1999,,,INFANT FIRST SIGHT,,MRH,,"CALF IS 2 MOS OLD, CALF STILL HAS FETAL FOLDS;FETAL MARKS - STRIPES AND SMOOTH;DORSAL FIN NOT FULLY ERECT;SURFACINGS NORMAL ""POP-UP"" A BIT; NO BP",YEAR ESTIMATE,01/05/2004,STOPPED SIGHTING POST WEANING,SIGHTED OFTEN PREVIOUSLY,DEFAULT DATE,EK,JM,Disappeared soon after weaning. Distinctive enough that should have been seen.,MONTH ESTIMATE,1/26/2004,REDUCED MC ASSOCIATION,,MIDPOINT,JM,,YES,MIDPOINT,2006,
CIR,CIRRUS,FALSE,MALE,LOW,,,11/01/1981,,,ASSIGNED 10 YRS,,,,,,,,,,,,,,,,,,,,,,,
CKE,COCKLE,FALSE,,,CLA,MONTH ESTIMATE,04/01/2021,12/1/2020,8/1/2021,INFANT FIRST SIGHT,,JM,,Cockle age estimate 9-16 months at first sight on 19Apr22. Clam last sighted 16-Nov-19,,,,,,,,,,,,,,,,,,,
CKL,CHUCKLE,TRUE,FEMALE,HIGH,,YEAR ESTIMATE,11/01/1993,11/1/1990,11/1/1997,SSSS,ASSIGNED 10 YRS,JM,,Seen by RCC 13Sep04 but no notes on age. In 2014 photo no speckles on DF so likely under 25 with earliest bday1990 and had calf by 2011,,,,,,,,,,,,,,,,,,,
CKM,CHAKRAM,FALSE,UNKNOWN,,XEN,YEAR ESTIMATE,11/01/2001,,,,,JM,,,YEAR ESTIMATE,01/05/2005,MOTHER CALF NOT SIGHTED SINCE,,DEFAULT DATE,SAS,,Neither XEN nor CKM sighted since 10-Oct-04,,,,,,,,NO,,,
CKY,CORKY,FALSE,FEMALE,HIGH,,YEAR ESTIMATE,11/01/1977,11/1/1964,11/1/1977,SSSS,REPRODUCTIVE AGE,EK,JM,CKY had DF and lateral speckles in 1997 suggesting minimum age of 20.,YEAR ESTIMATE,01/05/2002,RARELY SIGHTED,OVER 3 YEARS,DEFAULT DATE,EK,JM,CKY only seen 2 years and then disappeared. Was a sponger so we were looking for her.,,,,,,,,,,2002,
CLA,CLAM,FALSE,FEMALE,HIGH,SCA,MONTH ESTIMATE,11/01/1993,,,SPRING SUMMER YOY,,JM,,"NO SIZE INFORMATION (BUT RCC THOUGHT WAS PRAWN, SO NOT YOY)",,,,,,,,,WEEK ESTIMATE,9/29/1996,REDUCED MC ASSOCIATION,SIBLING BIRTH,MIDPOINT,JM,,YES,W/I A MONTH,2007,
CLD,COOLIDGE,FALSE,,,CAL,MONTH ESTIMATE,12/01/1997,,,INFANT FIRST SIGHT,,MRH,,"ABOUT 5 MOS OLD, SEE INFANT FIRST SIGHT SHEET",MONTH ESTIMATE,01/05/1999,MOTHER CALF NOT SIGHTED SINCE,SIGHTED OFTEN PREVIOUSLY,DEFAULT DATE,JM,,CAL and CLD seen often before last sighting date.,,,,,,,,NO,,1998,
CLE,CLEOPATRA,FALSE,,,CYR,DAY ESTIMATE,01/03/2009,,,INFANT FIRST SIGHT,,CCC,,"tiny, lines, not lumpy enough to be only a few days, so am estimating 12 days.",,,,,,,,,MONTH ESTIMATE,7/22/2012,,,MIDPOINT,SAS,,YES,CYR and CLE seen separtely on 31-Aug-12,,
CLI,CLIFFORD,FALSE,MALE,HIGH,LAS,WEEK ESTIMATE,15/09/2001,,,INFANT FIRST SIGHT,,JJW,,SEE INFANT SIGHT SHEETS,,,,,,,,,MONTH ESTIMATE,5/7/2005,REDUCED MC ASSOCIATION,,MIDPOINT,JM,,YES,,2007,
CLM,CALAMARI,FALSE,,,ESC,YEAR ESTIMATE,11/01/2000,,,GAP,,JM,,NO SIZE INFORMATION,YEAR ESTIMATE,01/05/2003,MOTHER CALF NOT SIGHTED SINCE,UNCERTAIN SURVIVAL STATUS PREWEANING,DEFAULT DATE,EK,JM,B-day is very shaky. Esc not seen for 4 yr. period.,,,,,,,,NO,B-DAY IS VERY SHAKY. ESC NOT SEEN FOR 4 YR. PERIOD.,2002,
CLO,CLOWNFISH,FALSE,FEMALE,HIGH,NIP,MONTH ESTIMATE,11/01/1992,,,SPRING SUMMER YOY,,JM,,"SHARK BITE MARKS, YOY; DATA FROM MOUSE FOLLOW",,,,,,,,,MONTH ESTIMATE,2/8/1996,REDUCED MC ASSOCIATION,,MIDPOINT,JM,,YES,NUT was renamed as CLO later since we lost track of NUT for a few years.,2007,
CLT,CLEMENTINE,TRUE,FEMALE,HIGH,,YEAR ESTIMATE,11/01/1990,,11/1/1990,REPRODUCTIVE AGE,,EK,JM,Crap photos but she had 2 year old at her only sighting 21Nov04 so was at least 14 then. But calf could be older and so could she.,YEAR ESTIMATE,01/05/2008,RARELY SIGHTED,,DEFAULT DATE,EK,JM,Only seen one year.,,,,,,,,,,,Unclear why sexed as female with high confidence. Needs researching.
CLU,CLOUD,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLV,CLOVER,FALSE,FEMALE,HIGH,UVE,MONTH ESTIMATE,11/01/1996,,1/1/1997,SSSS,,EK,JM,"Seen first in 1998 (called Sunny) but no size information. Then seen again post-weaning, but small with slightly older juveniles. SNPs put UVE as mother of CLV. UVE had Sunny which is actually now CLV so Sunny name is deactivated. UVE surveyed with SUNNY now CLV together in 1998 but in 2000 surveys there were unknowns and she could have been there.",,,,,,,,,YEAR ESTIMATE,5/1/2000,,,DEFAULT DATE,JM,,NO,Unclear if UVE with CLV in 2000 surveys as there are some unknowns. COP born late 2001 so CLV weaned either in 2000 or 2001. Birthdate might be off by one year also.,2007,
CLW,CLAW,TRUE,FEMALE,HIGH,,YEAR ESTIMATE,11/01/1991,11/1/1988,11/1/1993,,SSSS,EK,JM,Retained 10 year default age at first sighting but speckling allowed for better age range.,,,,,,,,,,,,,,,,,,,
CLY,CALYPSO,FALSE,FEMALE,HIGH,,YEAR ESTIMATE,11/01/1981,11/1/1966,11/1/1981,SSSS,REPRODUCTIVE AGE,EK,JM,Has DF speckles in 2001 that indicate she is at least 20 but could be as old as 35. Only seen once.,YEAR ESTIMATE,01/05/2005,RARELY SIGHTED,OVER 3 YEARS,DEFAULT DATE,EK,JM,Highly distinctive and not seen for 16 years so assigned death date.,,,,,,,,,,2001,
CML,CAMEL,FALSE,UNKNOWN,,BMY,YEAR ESTIMATE,11/01/1997,11/1/1996,1/1/1999,MOTHER FIRST SIGHT WITH CALF,,JM,,JM 2001: calf estimated 3-4 yrs at first sight. MK possibly saw this calf as a YOY on 13-sep-99.,,,STOPPED SIGHTING POST WEANING,,,,,,MONTH ESTIMATE,1/13/2002,,,MIDPOINT,SAS,,NO,"CML was probably weaned but unsure whether he/she survived, BMY seen in 2002 with no sign of CML",,
CMO,COSMO,FALSE,MALE,HIGH,,YEAR ESTIMATE,11/01/1982,11/1/1980,11/1/1984,SSSS,,EK,JM,,YEAR ESTIMATE,01/05/2009,OVER 3 YEARS,,DEFAULT DATE,EK,,Some gaps in sighting record but usually seen every year. There is an ambiguous siting and no photos of CMO in 2008.,,,,,,,,,,2004,
CMR,CHIMERA,FALSE,UNKNOWN,,PGS,MONTH ESTIMATE,11/01/2001,9/1/2001,1/1/2002,,MOTHER FIRST SIGHT WITH CALF,JM,,,,,MOTHER CALF NOT SIGHTED SINCE,,,,,,,,,,,,,NO,,,JM estimated to be yoy based on photos; calf had abnormal pink/white splotches on sides of body
CNA,CORONA,FALSE,,,BMN,MONTH ESTIMATE,12/01/2021,11/1/2021,2/1/2022,SPRING SUMMER YOY,GAP,VF,JM,"Mom last seen 4-Sep-15. Calf first seen 15-Jul-22, yoy.  Looks 6-8 mos",,,,,,,,,,,,,,,,,,,
CNC,CANCER,FALSE,,,ARI,MONTH ESTIMATE,11/01/2003,9/1/2003,1/1/2004,,,MK,,yoy,DAY ESTIMATE,11/07/2004,DEAD PREWEANING,SIBLING BIRTH,MIDPOINT,JM,,ARI sighted with males 17-Jul-04 and no sign of CNC,,,,,,,,,,,
CNK,CRANK,FALSE,MALE,HIGH,,YEAR ESTIMATE,11/01/1982,11/1/1979,11/1/1985,SSSS,,JM,,Best estimate is at least 20 in 2002 based on lateral speckles. 1982 bday. Plus or minus a couple of years. Don't think could be younger than 17 in 2002 and probably not older than 23.,YEAR ESTIMATE,01/05/2004,OVER 3 YEARS,,DEFAULT DATE,JM,VF,"Last seen 23-Apr-02, other alliance members seen frequently in the next few years",,,,,,,,,,2002,
CNM,CINNAMON,FALSE,UNKNOWN,,SAS,WEEK ESTIMATE,08/04/2012,,,,,EK,,,MONTH ESTIMATE,01/05/2014,DEAD PREWEANING,MOTHER CALF NOT SIGHTED SINCE,DEFAULT DATE,EK,JM,Both mother and calf disappeared.,,,,,,,,,,,"about 6 weeks old, had fetal lines, smooth body, df erect, normal weight, normal swimming, synchronous with mom, mostly in echelon, few by eye, bp 31-60 sec, snagged and did a very small td!"
CNO,CONCERTO,FALSE,UNKNOWN,,CAD,YEAR ESTIMATE,11/01/2008,11/1/2007,11/1/2009,,,JM,,,,,,,,,,"CAD was with males when CNO sighted so calf could have been older and weaned subsequently, not dead.",,,,,,,,,,,no age info on survey but JM estimated 1.5 yrs based on photos
CNS,CRANSON,FALSE,UNKNOWN,,BNS,YEAR ESTIMATE,11/01/2004,,,,,SAS,,no age info on survey; BNS with males in 2003,,,UNCERTAIN SURVIVAL STATUS PREWEANING,MOTHER CALF NOT SIGHTED SINCE,,,,No pictures so we cannot determine calf survival.,,,,,,,,,,,
CNT,COUNT,FALSE,,,,,11/01/1986,,,ASSIGNED 10 YRS,,,,,,,,,,,,,,,,,,,,,,1996,
COB,COBAIN,FALSE,UNKNOWN,,NIR,WEEK ESTIMATE,15/12/2017,12/3/2017,1/15/2018,INFANT FIRST SIGHT,,JM,,Looks 6 months old at first sight based on photo.,,,,,,,,,MONTH ESTIMATE,1/29/2022,REDUCED MC ASSOCIATION,,MIDPOINT,JM,VF,YES,last seen 15-Nov-21 with Nirvana. Nirvana seen 15-Apr-22 without Cobain,,
COC,COCOA,FALSE,FEMALE,HIGH,,YEAR ESTIMATE,11/01/1979,11/1/1974,11/1/1979,SSSS,REPRODUCTIVE AGE,JM,,Considered an adult in 1991 so would have been at least 12.,YEAR ESTIMATE,01/05/2012,SIGHTED OFTEN PREVIOUSLY,OVER 3 YEARS,DEFAULT DATE,EK,JM,,,,,,,,,,,2007,
COD,CODON,FALSE,MALE,HIGH,,YEAR ESTIMATE,11/01/1963,11/1/1959,11/1/1963,SSSS,91CAT,,,,MONTH ESTIMATE,01/05/2006,SIGHTED OFTEN PREVIOUSLY,OVER 3 YEARS,DEFAULT DATE,JM,,,,,,,,,,,,2005,
COI,COOLIO,FALSE,FEMALE,HIGH,GRV,YEAR ESTIMATE,11/01/1999,,,,,JM,,,,,,,,,,,MONTH ESTIMATE,1/15/2003,,,MIDPOINT,JM,,NO,birthdate uncertain,,large calf based on photos
COK,CONK,FALSE,FEMALE,HIGH,SCA,WEEK ESTIMATE,21/01/2007,,,INFANT FIRST SIGHT,,EK,,INFANT FIRST SIGHT SHEET,,,,,,,,,MONTH ESTIMATE,8/13/2009,,,MIDPOINT,SAS,,YES,,2007,
COL,COLT,FALSE,FEMALE,HIGH,,YEAR ESTIMATE,11/01/1983,11/1/1976,11/1/1983,SSSS,REPRODUCTIVE AGE,EK,JM,Speckle information indicates she is a bit older than original 1985 bday.,YEAR ESTIMATE,01/05/2005,OVER 3 YEARS,SIGHTED OFTEN PREVIOUSLY,DEFAULT DATE,EK,,"had one year gap in sightings, but otherwise regularly seen.",,,,,,,,,,2003,
COM,COMB,FALSE,MALE,HIGH,,,11/01/1977,,,91CAT,,,,,YEAR ESTIMATE,01/05/2015,SIGHTED OFTEN PREVIOUSLY,OVER 3 YEARS,DEFAULT DATE,JM,,,,,,,,,,,,2007,
CON,CONGO,FALSE,FEMALE,HIGH,,YEAR ESTIMATE,11/01/1981,,,REPRODUCTIVE AGE,,,,No other information to allow us to narrow down or provide range.,YEAR ESTIMATE,01/05/2000,RARELY SIGHTED,,DEFAULT DATE,EK,JM,Not distinctive. Up in WB and only sighted once.,,,,,,,,,,1996,
COO,COOKIE,FALSE,MALE,HIGH,CRO,DAY ESTIMATE,10/06/1988,,,INFANT FIRST SIGHT,,RCC,,,,,,,,,,,DAY ESTIMATE,5/7/1992,REDUCED MC ASSOCIATION,,MIDPOINT,JM,,YES,EST AT 44 MONTHS BECAUSE ORPHANED BUT SURVIVED; INDEPENDENT EARLY MAY 1992,2007,
COP,COPPERTONE,FALSE,FEMALE,HIGH,UVE,MONTH ESTIMATE,11/01/2001,,,SPRING SUMMER YOY,,JJW,,CALF LOOKS LIKE YOY - 24AUG02 BY JJW,,,,,,,,,MONTH ESTIMATE,8/31/2005,REDUCED MC ASSOCIATION,GAP,MIDPOINT,SAS,,YES,,2004,
COR,CORNER,FALSE,FEMALE,HIGH,NOO,WEEK ESTIMATE,10/01/1990,,,INFANT FIRST SIGHT,,KAW,,CHECK VIDEO,MONTH ESTIMATE,01/05/2011,SIGHTED OFTEN PREVIOUSLY,,DEFAULT DATE,JM,,,MONTH ESTIMATE,9/17/1994,SIBLING BIRTH,,,JM,,YES,B/C WEANED NEAR THIS DATE B/C CREVICE IS BORN IN 94,2007,
COS,COSINE,FALSE,FEMALE,HIGH,,YEAR ESTIMATE,11/01/1962,11/1/1957,11/1/1967,SSSS,REPRODUCTIVE AGE,EK,JM,Speckles in 1993 photos.,MONTH ESTIMATE,01/11/1995,SIGHTED OFTEN PREVIOUSLY,OVER 3 YEARS,DEFAULT DATE,EK,JM,Seen every year before.,,,,,,,,,,1994,
COU,COUCH,FALSE,FEMALE,HIGH,,YEAR ESTIMATE,11/01/1958,11/1/1955,11/1/1963,SSSS,91CAT,EK,JM,Very heavily speckled all over in 1988 so probably at least 30 and could have been close to 40.  Dates do not go to 1948 or we would put earlier DOB in the range.,YEAR ESTIMATE,01/05/1993,OVER 3 YEARS,,DEFAULT DATE,EK,JM,Seen in 1980s and a year gap in sightings. She was quite old so we think she was gone by 1993.,,,,,,,,,,1991,
COW,COWBOY,FALSE,UNKNOWN,,MAV,WEEK ESTIMATE,10/01/2011,9/1/2011,10/15/2011,INFANT FIRST SIGHT,,EK,,No fetal lines. Looks about 3 months old based on photos.,,,GAP,,,,,Mother seen every few years so gap in sightings.,,,,,,,,,,,
CPA,CAPTAIN AMERICA,FALSE,MALE,HIGH,,YEAR ESTIMATE,11/01/1993,,,,,,,,,,,,,,,,,,,,,,,,,,
CPH,COPENHAGEN,FALSE,UNKNOWN,,DMK,DAY ESTIMATE,10/04/2009,,,,,EK,,"calf looks 2 weeks, has fetal stripes, smooth, fin erect",,,,,,,,,MONTH ESTIMATE,4/23/2013,REDUCED MC ASSOCIATION,,MIDPOINT,JM,,YES,gap between sightings but CPH seen post-weaning,,
CPO,CAPONE,FALSE,MALE,LOW,,YEAR ESTIMATE,11/01/1993,11/1/1991,11/1/1995,SSSS,,JM,,,,,,,,,,,,,,,,,,,,,
CPP,CHIPOTLE,FALSE,MALE,HIGH,,YEAR ESTIMATE,11/01/1996,11/1/1993,11/1/1998,SSSS,,JM,,"first sighting 14-Sep-12, JM estimated 15-20 based on photos from 2014, in alliance herding females in 2019",,,,,,,,,,,,,,,,,,,previously unk1281
CPT,CAPOTE,FALSE,UNKNOWN,,ATW,WEEK ESTIMATE,10/01/2014,9/27/2014,10/2/2014,INFANT FIRST SIGHT,,JM,MMW,"Whitney saw calf around 4-Oct-2014, fetal lines, bigger than EDN at first sighting of each",WEEK ESTIMATE,06/12/2014,DEAD PREWEANING,,MIDPOINT,CBK,,,,,,,,,,,,,
CRA,CRANNY,FALSE,,,NOO,YEAR ESTIMATE,11/01/1986,,,MOTHER FIRST SIGHT WITH CALF,,JM,,LARGE CALF IN 1988 (NOTES FROM 1991 CATALOGUE),,,OVER 3 YEARS,,,,,Not distinctive enough to track but we saw mother a lot and Cranny would have hung out with her at least a little.,YEAR ESTIMATE,2/9/1990,SIBLING BIRTH,,,JM,,NO,MIDPT B/W SIGHTINGS; CHECK BDAY; NEVER SAW CRA POST-WEANING,,
CRB,CHERUB,TRUE,FEMALE,HIGH,,YEAR ESTIMATE,11/01/1988,11/1/1980,11/1/1988,REPRODUCTIVE AGE,,JM,,No obvious speckles in 2003 photos so probably less than 20 years.,YEAR ESTIMATE,01/05/2007,RARELY SIGHTED,,DEFAULT DATE,EK,JM,Only seen one year. HB Peron dolphin,,,,,,,,,,,
CRC,CRACKLE,FALSE,MALE,HIGH,,YEAR ESTIMATE,11/01/1971,11/1/1963,11/1/1972,SSSS,91CAT,EK,JM,,MONTH ESTIMATE,01/05/2006,SIGHTED OFTEN PREVIOUSLY,OVER 3 YEARS,DEFAULT DATE,EK,JM,,,,,,,,,,,2005,
CRE,CREST,FALSE,FEMALE,HIGH,,YEAR ESTIMATE,11/01/1980,11/1/1979,11/1/1980,91CAT,REPRODUCTIVE AGE,EK,JM,First sighted as a juvenile by RAS in 1984 and considered subadult by 1991. Could not have been much older than 4 at first sighting.,YEAR ESTIMATE,01/05/2002,OVER 3 YEARS,,DEFAULT DATE,EK,JM,Had a 2 year gap in sightings but otherwise seen often.,,,,,,,,,,1999,
CRI,CRINKLES,FALSE,MALE,HIGH,,,11/01/1961,,,SSSS,91CAT,,,,MONTH ESTIMATE,01/05/1994,SIGHTED OFTEN PREVIOUSLY,OVER 3 YEARS,DEFAULT DATE,JM,,,,,,,,,,,,1992,
CRK,CORKSCREW,FALSE,UNKNOWN,,CUR,WEEK ESTIMATE,15/02/2015,2/1/2015,3/1/2015,INFANT FIRST SIGHT,,EK,,,,,,,,,,,YEAR ESTIMATE,5/1/2018,GAP,,DEFAULT DATE,EK,,NO,Assume weaned in 2018 because mother consorted and 2017 was too early as calf was barely 2.,,
CRL,CORNELIUS,FALSE,UNKNOWN,,THU,MONTH ESTIMATE,11/01/2011,,,,,JM,,,,,RARELY SIGHTED,,,,,Distinctive fin but at Peron so could be on west side of Peron.,MONTH ESTIMATE,8/29/2014,,STOPPED SIGHTING POST WEANING,MIDPOINT,EK,JM,NO,Reduced MC association,,yoy
CRM,CARAMEL,TRUE,,,,YEAR ESTIMATE,11/01/1995,11/1/1993,11/1/1997,SSSS,,EK,JM,Notes say it was a small animal at first sighting.,,,,,,,,,,,,,,,,,,,
CRO,CROOKEDFIN,FALSE,FEMALE,HIGH,,YEAR ESTIMATE,11/01/1960,11/1/1957,11/1/1960,SSSS,REPRODUCTIVE AGE,EK,JM,Thought to be close to HOL in age.,DAY ESTIMATE,08/05/1992,SIGHTED OFTEN PREVIOUSLY,,OTHER,JM,,"beach dolphin, COO was seen without mom, could check DIC records for last sighting",,,,,,,,,,1992,
CRP,CARPE DIEM,FALSE,FEMALE,HIGH,SCA,MONTH ESTIMATE,02/01/1998,10/1/1997,3/1/1998,SPRING SUMMER YOY,,JM,VF,CRP is same as TRL so we gave her TRL bday. No good notes on size at birth.,,,,,,,,,MONTH ESTIMATE,2/1/2001,SIBLING BIRTH,REDUCED MC ASSOCIATION,MIDPOINT,JM,,YES,Note that TRL TROLLOP was changed to CRP.,,
